"Postcode_Area","Area_Name","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries","Population_to_Surgeries","Population_to_Practitioners"
"W","West London",531401,705451,902,105,5060.9619047619,589.136363636364
"WA","Warrington",642982,684651,902,89,7224.51685393258,712.840354767184
"WC","West Central London",30668,117762,177,11,2788,173.265536723164
"WD","Watford",282046,320399,432,26,10847.9230769231,652.884259259259
"WF","Wakefield",547784,564413,755,62,8835.22580645161,725.541721854305
"WN","Wigan",316899,337315,427,49,6467.32653061224,742.152224824356
"WR","Worcester",312662,322955,483,32,9770.6875,647.333333333333
"WS","Walsall",472232,492726,619,77,6132.88311688312,762.894991922456
"WV","Wolverhampton",417097,428364,548,58,7191.3275862069,761.125912408759
"YO","York",582897,599268,949,52,11209.5576923077,614.222339304531
