"","CODE","POSTCODE","NUMBER_OF_PATIENTS"
"1694","E82113","AL2 1ES",3952
"1695","E82117","WD6 4PR",13659
"1696","E82124","WD23 2NN",31240
"1697","E82129","WD4 8ET",14876
"1698","E82640","HP2 5TA",6610
"1699","E82643","HP3 0HJ",2585
"1700","E82644","HP2 7PQ",2912
"1701","E82652","HP4 1DL",2948
"1702","E82655","WD19 7SF",3770
"1703","E82657","WD23 1EZ",6159
"1704","Y01165","WD19 7SF",4330
"1705","F81011","CO5 9AG",7454
"1706","F81014","CM7 5SN",12132
"1707","F81020","CM7 4BQ",7593
"1708","F81022","CM9 5DF",15843
"1709","F81024","CM1 4UU",5206
"1710","F81030","CM8 1BH",16611
"1711","F81040","CM4 9NF",4560
"1712","F81057","CM1 3RW",13683
"1713","F81068","CO9 1EX",15954
"1714","F81071","CM1 1TR",13617
"1715","F81076","CM9 8RG",4343
"1716","F81083","CM2 0DB",12032
"1717","F81087","CM7 9BY",13362
"1718","F81098","CM1 3EH",8058
"1719","F81099","CM9 5GP",12438
"1720","F81100","CM3 4QL",25438
"1721","F81105","CM3 3LL",20216
"1722","F81114","CM2 7EZ",12496
"1723","F81117","CM2 7PY",9877
"1724","F81119","CO6 2SW",8053
"1725","F81122","CM1 4HW",27849
"1726","F81126","CM0 8SJ",9219
"1727","F81130","CM0 7AY",6161
"1728","F81132","CM7 2AE",16971
"1729","F81149","CM3 3DX",10684
"1730","F81170","CM3 5QP",13871
"1731","F81173","CM8 1TE",6588
"1732","F81183","CM0 7TH",5246
"1733","F81193","CM8 2UX",5947
"1734","F81635","CM8 2DZ",2400
"1735","F81665","CM2 6ST",4757
"1736","F81674","CM3 4EY",2911
"1737","F81683","CM7 3JN",9601
"1738","F81730","CO6 1UH",6433
"1739","F81751","CM3 6AB",4648
"1740","Y00293","CO9 3BY",9340
"1741","Y00589","CM3 5QP",6625
"1742","Y02611","CM2 5EF",11607
"1743","Y05023","CM8 3RQ",4200
"1744","Y06389","SS2 6BB",75
"1745","F81012","CO5 8RA",7623
"1746","F81017","CO14 8PA",8341
"1747","F81019","CO12 4EX",17390
"1748","F81021","CO7 8PJ",10195
"1749","F81026","CO13 9JT",7600
"1750","F81028","CO7 9BA",8755
"1751","F81037","CO15 3PP",8458
"1752","F81042","CO1 2QS",38247
"1753","F81044","CO7 7LD",7452
"1754","F81052","CO15 1DA",14124
"1755","F81067","CO3 4LN",16039
"1756","F81069","CO3 0PZ",7461
"1757","F81091","CO1 2RW",9151
"1758","F81095","CO2 7UW",18971
"1759","F81115","CO2 7GH",28453
"1760","F81116","CO7 0DT",10888
"1761","F81133","CO5 0HB",11938
"1762","F81141","CO5 7HP",16288
"1763","F81156","CO15 1NJ",9024
"1764","F81212","CO15 3AU",9433
"1765","F81213","CO16 0EA",8027
"1766","F81221","CO12 3RS",4779
"1767","F81606","CO12 5AD",2871
"1768","F81633","CO11 2HD",4092
"1769","F81636","CO4 5LE",15396
"1770","F81679","CO4 9SR",7376
"1771","F81681","CO15 2NB",15673
"1772","F81716","CO3 8NZ",8510
"1773","F81741","CO15 4TN",11359
"1774","F81746","CO4 9YN",4034
"1775","F81757","CO11 1AA",6466
"1776","Y02646","CO4 5JR",10168
"1777","F81010","RM15 4AD",12443
"1778","F81082","RM18 8SD",4902
"1779","F81088","SS17 8HD",2887
"1780","F81110","RM18 8EB",12005
"1781","F81113","RM16 6RS",14895
"1782","F81134","RM15 6PR",8034
"1783","F81137","RM16 3ET",7540
"1784","F81153","SS17 0PH",12442
"1785","F81155","RM17 5NS",5647
"1786","F81177","SS17 0BY",4200
"1787","F81192","RM16 2AP",9908
"1788","F81197","RM15 5SZ",2587
"1789","F81198","SS17 8LB",2708
"1790","F81206","RM18 7RB",5683
"1791","F81211","RM17 6SP",5401
"1792","F81218","RM17 6HU",2772
"1793","F81219","RM17 5HB",4620
"1794","F81623","RM17 6DB",2469
"1795","F81632","RM15 5LP",3967
"1796","F81641","RM17 5EZ",3159
"1797","F81652","RM18 7RJ",4392
"1798","F81669","RM15 5GN",6884
"1799","F81697","SS17 7DZ",3072
"1800","F81708","RM18 7QA",10610
"1801","Y00033","RM19 1SX",6310
"1802","Y00999","RM17 5JY",11758
"1803","Y02807","RM17 6NB",12806
"1804","F81004","CM22 7EH",9804
"1805","F81009","CB10 1EJ",10713
"1806","F81015","CB11 3HY",13050
"1807","F81027","CM18 6YJ",20227
"1808","F81034","CB11 3PY",8932
"1809","F81043","CM16 6TL",19267
"1810","F81047","CM18 6LY",10971
"1811","F81048","IG10 1HW",10770
"1812","F81049","CM5 0AL",12382
"1813","F81053","CM24 8XG",11591
"1814","F81056","CM17 0AX",9898
"1815","F81062","IG6 2TA",8805
"1816","F81072","CM16 4DA",7319
"1817","F81078","CM17 9TG",12034
"1818","F81090","CM6 1AQ",10913
"1819","F81106","CM18 6LY",10151
"1820","F81111","CM22 6LA",6852
"1821","F81118","CM6 1BH",14907
"1822","F81120","CM20 3AX",13025
"1823","F81131","CM6 2QN",8443
"1824","F81136","IG10 1SZ",12666
"1825","F81152","IG10 2NH",11742
"1826","F81165","IG9 5LT",4715
"1827","F81169","IG9 5LP",7777
"1828","F81181","CM20 1DS",22291
"1829","F81184","RM4 1UH",4074
"1830","F81216","IG9 6BN",4422
"1831","F81619","CM20 3NT",3594
"1832","F81725","EN9 3DU",8872
"1833","F81749","EN9 1NP",13860
"1834","Y07016","SS2 6BB",13
"1835","D83003","CB8 8XU",5164
"1836","D83005","IP33 1LU",13834
"1837","D83012","CB9 8LU",18072
"1838","D83013","IP33 1ET",12324
"1839","D83014","CO10 9EP",9139
"1840","D83018","IP28 7EG",12754
"1841","D83021","CB9 8HF",16725
"1842","D83027","CB8 8NU",11625
"1843","D83029","CB8 8NW",14017
"1844","D83033","IP22 1DW",9443
"1845","D83038","IP32 7EW",14538
"1846","D83040","IP33 3BB",10841
"1847","D83045","IP27 9EP",5269
"1848","D83055","IP30 9QU",14842
"1849","D83060","CO10 2AY",24138
"1850","D83062","IP27 0BU",7656
"1851","D83064","CO10 7RF",4836
"1852","D83067","CB8 7JG",7290
"1853","D83070","IP31 2XA",5280
"1854","D83075","CO10 2DZ",10716
"1855","D83076","CO10 8NY",5363
"1856","D83078","IP28 8LB",9494
"1857","D83610","IP33 1AE",12847
"1858","Y00774","IP27 0AQ",5333
"1859","G81001","BN3 8LD",9107
"1860","G81006","BN2 1SS",6679
"1861","G81011","BN1 4LA",19353
"1862","G81014","BN1 8DD",7941
"1863","G81018","BN1 6DP",11752
"1864","G81028","BN2 3HP",12593
"1865","G81034","BN3 1RF",28593
"1866","G81036","BN1 8DD",9172
"1867","G81038","BN1 6AG",18158
"1868","G81042","BN1 6AG",13893
"1869","G81044","BN1 3FS",6430
"1870","G81046","BN41 1LX",11810
"1871","G81047","BN1 3JJ",7038
"1872","G81054","BN1 1EJ",9920
"1873","G81065","BN2 6BA",9108
"1874","G81070","BN3 3AT",23343
"1875","G81071","BN1 9RW",21441
"1876","G81073","BN41 2WF",8269
"1877","G81075","BN2 4GF",7365
"1878","G81076","BN2 8BU",10558
"1879","G81083","BN3 5JA",7429
"1880","G81613","BN1 7GF",5518
"1881","G81638","BN3 1AE",17109
"1882","G81646","BN1 6HE",2565
"1883","G81656","BN1 1FZ",5284
"1884","G81663","BN41 1XH",5473
"1885","G81667","BN2 8BU",2013
"1886","G81669","BN2 5FL",2482
"1887","G81680","BN41 1XR",6875
"1888","G81689","BN2 9DH",1370
"1889","G81694","BN1 1AE",3235
"1890","Y02676","BN1 3XE",9736
"1891","Y06007","BN2 5FL",7321
"1892","K84001","RG9 2DR",10636
"1893","K84002","OX11 7JH",18668
"1894","K84003","OX5 2TQ",6234
"1895","K84004","OX4 4DH",12945
"1896","K84006","OX29 4QB",15168
"1897","K84007","OX4 2HL",8270
"1898","K84008","OX49 5AF",7136
"1899","K84009","OX3 9JA",29133
"1900","K84010","OX18 2LJ",8856
"1901","K84011","OX2 7BS",18359
"1902","K84013","OX4 1XB",20729
"1903","K84014","OX33 1YJ",11153
"1904","K84015","RG9 5AJ",4267
"1905","K84016","OX1 2NA",16914
"1906","K84017","OX28 6JS",19514
"1907","K84019","OX12 9BN",15660
"1908","K84020","RG4 9SW",9843
"1909","K84021","OX2 7BT",10010
"1910","K84023","OX10 7NE",5182
"1911","K84024","OX16 9SA",8670
"1912","K84025","OX2 9JS",14207
"1913","K84026","OX2 6NW",11884
"1914","K84027","OX14 3JY",17224
"1915","K84028","OX16 9AD",40507
"1916","K84030","OX7 5FA",15834
"1917","K84031","OX4 7EX",11077
"1918","K84032","OX4 1XD",9280
"1919","K84033","OX12 9BN",16531
"1920","K84034","OX14 3EL",3353
"1921","K84035","RG9 2DR",9819
"1922","K84036","OX10 6RL",5878
"1923","K84037","OX10 9DU",17415
"1924","K84038","OX26 6HT",16629
"1925","K84041","OX14 1BT",12245
"1926","K84042","OX20 1UB",9282
"1927","K84043","OX11 0BB",16573
"1928","K84044","OX3 9BP",18961
"1929","K84045","OX5 2NS",7257
"1930","K84046","OX7 6BW",6122
"1931","K84047","OX18 4LS",6791
"1932","K84048","OX4 2NB",9012
"1933","K84049","OX1 2NR",7621
"1934","K84050","OX9 3JZ",12869
"1935","K84051","SN7 7YU",16813
"1936","K84052","OX26 6AT",15604
"1937","K84054","OX14 3LB",18165
"1938","K84055","OX15 0TQ",12500
"1939","K84056","OX17 1FB",4478
"1940","K84058","OX15 4ES",8079
"1941","K84059","OX16 9DB",11934
"1942","K84060","OX4 1JS",5439
"1943","K84062","OX16 3WT",7937
"1944","K84063","OX4 1XD",10659
"1945","K84065","OX15 5RQ",2959
"1946","K84066","OX1 1UL",463
"1947","K84071","RG8 0PR",10281
"1948","K84072","OX28 6JQ",11998
"1949","K84075","OX18 1JA",11762
"1950","K84078","OX2 6NW",9840
"1951","K84079","OX14 1XR",9669
"1952","K84080","OX1 2NP",5870
"1953","K84082","OX5 1AP",13194
"1954","K84605","OX1 4JA",6028
"1955","K84610","OX7 3PQ",5456
"1956","K84613","OX26 6XX",21004
"1957","K84618","OX28 3FS",7552
"1958","K84624","OX11 7GD",10671
"1959","J82028","PO5 3ND",25519
"1960","J82055","PO5 2PW",12744
"1961","J82060","PO5 1AT",13192
"1962","J82073","PO3 5AF",9226
"1963","J82085","PO1 4JT",22967
"1964","J82090","PO4 8TA",13504
"1965","J82102","PO6 1PA",18659
"1966","J82114","PO6 3AW",9745
"1967","J82149","PO2 8HP",14804
"1968","J82155","PO2 8AL",58696
"1969","J82194","PO3 6BH",13296
"1970","J82199","PO1 2BH",17658
"1971","Y00572","PO1 2GJ",2
"1972","Y02526","PO15 7FJ",109
"1973","J81002","BH22 9HB",8915
"1974","J81003","BH9 1BP",10364
"1975","J81006","BH15 4JQ",34403
"1976","J81009","DT5 2BJ",12474
"1977","J81010","BH19 1HB",10877
"1978","J81011","BH20 4PG",8009
"1979","J81012","BH14 0DJ",58541
"1980","J81013","BH17 8UE",12361
"1981","J81014","BH4 9HJ",19390
"1982","J81016","DT1 2EW",8142
"1983","J81017","DT9 6LG",4471
"1984","J81018","BH6 5AJ",11520
"1985","J81019","DT11 7BH",23894
"1986","J81020","BH20 7HB",3785
"1987","J81021","BH5 1LX",25484
"1988","J81022","BH22 0HX",5800
"1989","J81025","BH20 6DR",6020
"1990","J81027","DT4 7BY",19568
"1991","J81028","BH23 5ET",13860
"1992","J81029","DT9 3DG",5687
"1993","J81030","BH31 7PY",8175
"1994","J81033","BH10 4BX",24186
"1995","J81034","BH21 1AP",14860
"1996","J81035","DT11 0AT",4321
"1997","J81036","BH12 3HF",8996
"1998","J81039","BH9 2XF",9375
"1999","J81041","BH18 8EE",19649
"2000","J81042","BH12 5BF",9112
"2001","J81045","BH10 5EY",10497
"2002","J81046","BH18 8EE",12576
"2003","J81047","BH9 3LQ",12594
"2004","J81049","BH6 3DB",9500
"2005","J81051","DT4 9BE",15311
"2006","J81052","BH15 1AE",6555
"2007","J81053","DT2 7JG",4089
"2008","J81056","BH23 3AF",18783
"2009","J81057","BH23 3AF",6245
"2010","J81058","BH21 5QE",11537
"2011","J81059","BH6 5BF",9963
"2012","J81061","BH22 9HB",7857
"2013","J81062","BH8 9EW",11067
"2014","J81064","BH15 2PG",4430
"2015","J81066","BH23 1PA",10301
"2016","J81067","BH7 7BU",5830
"2017","J81068","DT1 1QR",7067
"2018","J81070","BH11 9ST",9596
"2019","J81072","BH1 3EG",15645
"2020","J81073","DT4 7DW",16698
"2021","J81074","DT8 3EQ",5302
"2022","J81075","DT4 9QX",5969
"2023","J81076","DT6 5BN",24583
"2024","J81077","BH21 1NL",6801
"2025","J81078","DT9 4DL",12692
"2026","J81081","SP8 4XS",12908
"2027","J81082","DT1 2FD",7323
"2028","J81086","BH14 0HU",7212
"2029","J81087","BH17 7XW",9664
"2030","J81609","DT3 4NS",3061
"2031","J81612","BH20 5HH",2901
"2032","J81613","DT4 7LE",6757
"2033","J81616","DT2 8FY",4261
"2034","J81620","DT10 1QU",26545
"2035","J81621","BH22 8AZ",7497
"2036","J81625","BH9 1PB",10368
"2037","J81626","DT1 1LD",4961
"2038","J81631","BH20 7BQ",2267
"2039","J81633","BH8 9NX",6470
"2040","J81634","BH1 4HA",12370
"2041","J81637","DT1 2FD",6527
"2042","J81644","BH21 1PL",3691
"2043","J81646","BH23 2FQ",6278
"2044","J81647","DT7 3HT",9072
"2045","J81648","BH15 2PG",4607
"2046","L84003","GL50 3EQ",11194
"2047","L84004","GL54 5GZ",7885
"2048","L84005","GL6 9JF",7720
"2049","L84006","GL19 3RB",6645
"2050","L84007","GL5 3BE",12135
"2051","L84008","GL50 4DP",10592
"2052","L84009","GL4 4BL",18791
"2053","L84010","GL7 1US",12152
"2054","L84011","GL15 5NQ",7766
"2055","L84012","GL7 1XG",23874
"2056","L84014","GL3 3HB",9002
"2057","L84015","GL52 6HS",11233
"2058","L84016","GL6 8DE",6888
"2059","L84018","GL7 1EH",13027
"2060","L84021","GL15 4RS",8256
"2061","L84022","GL50 3ED",8499
"2062","L84023","GL20 5GJ",13000
"2063","L84024","GL17 9JE",4274
"2064","L84025","GL6 6RD",4751
"2065","L84026","GL1 3PX",30450
"2066","L84027","GL12 7LS",12143
"2067","L84028","GL14 2NX",7905
"2068","L84029","GL15 4ED",3200
"2069","L84030","GL52 6DA",10418
"2070","L84031","GL54 1AX",5719
"2071","L84032","GL5 1UY",9341
"2072","L84033","GL50 4DP",20898
"2073","L84034","GL1 5JJ",12718
"2074","L84036","GL52 7YU",11526
"2075","L84037","GL18 1BA",11323
"2076","L84038","GL54 2AZ",11497
"2077","L84039","GL5 4BH",8946
"2078","L84040","GL53 0LA",13497
"2079","L84041","GL50 3BP",12950
"2080","L84043","GL55 6AU",5218
"2081","L84045","GL17 0AU",6556
"2082","L84046","GL14 2NX",6436
"2083","L84047","GL3 2JH",14031
"2084","L84048","GL52 8RP",10722
"2085","L84049","GL50 4DP",6799
"2086","L84050","GL2 2FY",36693
"2087","L84051","GL12 7BD",9142
"2088","L84052","GL1 2TZ",8343
"2089","L84053","GL7 4BQ",7678
"2090","L84054","GL20 5GJ",13705
"2091","L84058","GL50 4DP",9343
"2092","L84059","GL50 3DA",7984
"2093","L84060","GL11 5SY",10756
"2094","L84063","GL7 7EY",4616
"2095","L84065","GL6 0DQ",9258
"2096","L84067","GL2 0AJ",9502
"2097","L84068","GL56 0DS",5078
"2098","L84069","GL16 8RH",7260
"2099","L84070","GL10 2NG",6492
"2100","L84071","GL16 8HJ",6064
"2101","L84072","GL56 0DS",5039
"2102","L84073","GL11 4JN",4387
"2103","L84075","GL11 4JN",5052
"2104","L84077","GL5 4BH",4958
"2105","L84078","GL2 7HU",5263
"2106","L84080","GL10 2AA",4547
"2107","L84081","GL1 3EN",4495
"2108","L84084","GL3 4PE",10148
"2109","L84085","GL15 5PF",3845
"2110","L84606","GL2 8DH",11798
"2111","L84613","GL10 2NG",3115
"2112","L84615","GL14 1BE",3337
"2113","L84616","GL50 3PN",4839
"2114","L84617","GL2 4NF",6206
"2115","Y00054","GL1 1LY",51
"2116","Y02519","GL1 2TZ",9208
"2117","Y05212","GL51 7SU",4604
"2118","L82001","TR1 2JA",20106
"2119","L82003","PL29 3TR",8848
"2120","L82004","PL27 7BS",7828
"2121","L82006","TR10 8HX",20635
"2122","L82007","PL32 9YT",3269
"2123","L82008","EX23 9BP",10892
"2124","L82009","PL31 2LB",12163
"2125","L82010","PL31 2JJ",11236
"2126","L82011","PL26 7RL",5461
"2127","L82012","PL17 7AW",16727
"2128","L82013","TR6 0PS",7855
"2129","L82015","TR4 8QS",6305
"2130","L82016","PL14 3XA",16630
"2131","L82017","TR21 0HE",2369
"2132","L82018","TR13 8AU",13878
"2133","L82022","PL13 1HA",9830
"2134","L82023","TR9 6RR",17127
"2135","L82025","PL26 6UE",5022
"2136","L82026","PL24 2JL",6582
"2137","L82028","TR1 2JA",16768
"2138","L82029","TR7 2QF",15224
"2139","L82030","PL15 9HH",19041
"2140","L82035","PL23 1DT",8119
"2141","L82036","TR27 4PB",11925
"2142","L82038","TR18 3DX",11723
"2143","L82039","PL22 0EF",5100
"2144","L82041","TR15 3DU",31077
"2145","L82042","TR15 1AU",16787
"2146","L82043","PL12 5LH",4559
"2147","L82044","TR14 8SN",8451
"2148","L82045","TR2 4JZ",9195
"2149","L82046","PL12 6DL",12437
"2150","L82047","TR17 0HW",7153
"2151","L82048","TR2 5EE",3854
"2152","L82049","TR11 2LH",9225
"2153","L82050","PL14 4AQ",9592
"2154","L82051","PL26 8JF",13323
"2155","L82052","TR11 2UN",10848
"2156","L82054","TR5 0TN",8543
"2157","L82056","TR12 7DQ",8227
"2158","L82057","TR12 6PB",2948
"2159","L82058","PL35 0BG",4811
"2160","L82059","TR13 8RF",6301
"2161","L82061","TR3 6JD",6049
"2162","L82066","PL12 4BU",6770
"2163","L82068","TR14 0LB",7811
"2164","L82070","TR18 3DX",6118
"2165","L82618","PL32 9YT",3191
"2166","L82620","TR16 4RX",5694
"2167","L82622","TR11 4QJ",7474
"2168","Y00049","TR1 2JJ",231
"2169","Y00969","PL11 2TB",11848
"2170","Y01050","TR18 3DX",7204
"2171","Y01051","TR18 4EL",10231
"2172","Y01127","EX23 8LA",5884
"2173","Y01922","TR26 1RU",12042
"2174","Y02517","TR7 1RU",16850
"2175","Y04957","PL25 3EF",31835
"2176","L85001","TA1 1NW",16211
"2177","L85002","BA5 1XJ",11373
"2178","L85003","TA22 9EN",3981
"2179","L85004","TA18 8BX",12847
"2180","L85006","TA2 8QY",10274
"2181","L85007","TA12 6JL",10747
"2182","L85008","BA11 2FH",29431
"2183","L85009","TA4 4QE",10473
"2184","L85010","TA9 3YA",12322
"2185","L85011","BS27 3NZ",8064
"2186","L85012","TA21 8BD",15465
"2187","L85013","TA5 1NW",3858
"2188","L85014","TA1 2LB",13522
"2189","L85015","BA20 2BQ",13286
"2190","L85016","TA8 1EU",15943
"2191","L85017","BA20 1SB",9883
"2192","L85018","TA5 2HB",5240
"2193","L85019","TA24 5DL",12916
"2194","L85020","BA11 6SE",10906
"2195","L85021","TA1 4TY",13265
"2196","L85022","BA20 1UJ",14550
"2197","L85023","TA1 1JP",17685
"2198","L85024","TA7 9HA",10183
"2199","L85025","TA6 5JS",12746
"2200","L85026","TA14 6QE",5830
"2201","L85027","BA9 9FQ",9017
"2202","L85028","TA20 2EW",5712
"2203","L85029","BA16 0ET",13179
"2204","L85030","TA20 1QA",8107
"2205","L85031","DT9 5FH",7200
"2206","L85032","BA10 0EG",5955
"2207","L85033","TA10 9RH",13642
"2208","L85034","BA5 1XJ",8123
"2209","L85035","TA6 4GP",16990
"2210","L85036","TA4 3LH",5746
"2211","L85037","TA3 6NQ",4079
"2212","L85038","TA4 2BF",6716
"2213","L85039","BA6 9LP",13995
"2214","L85040","BA7 7EE",6261
"2215","L85042","TA6 3LS",15376
"2216","L85043","BA4 5RT",11332
"2217","L85044","BA22 7LT",6039
"2218","L85046","BA3 5NQ",5668
"2219","L85047","BA6 9DD",6137
"2220","L85048","BA21 3BA",5623
"2221","L85050","TA21 8AG",6672
"2222","L85051","TA6 5BF",7198
"2223","L85052","TA1 2QA",7485
"2224","L85053","BA4 5UH",6510
"2225","L85054","TA19 9FE",7557
"2226","L85055","BS26 2BJ",8693
"2227","L85056","TA6 6LX",6606
"2228","L85061","TA19 9FE",4118
"2229","L85062","TA2 8SQ",6282
"2230","L85064","BA21 5RL",10883
"2231","L85065","TA24 6SN",6895
"2232","L85066","TA11 7PB",7523
"2233","L85601","TA9 4JD",3103
"2234","L85607","TA6 6LD",5022
"2235","L85609","TA3 5FA",4777
"2236","L85611","BA3 5HT",3002
"2237","L85619","TA20 2DZ",7616
"2238","L85624","TA19 9RX",3120
"2239","Y01163","BA22 9AH",4410
"2240","N85002","CH48 4HZ",19430
"2241","N85003","CH62 6EE",4683
"2242","N85005","CH62 6EE",11479
"2243","N85006","CH63 7RX",9612
"2244","N85007","CH60 7SG",16618
"2245","N85008","CH49 5PL",14053
"2246","N85009","CH49 7LP",5454
"2247","N85012","CH45 5LN",9547
"2248","N85013","CH49 0TF",7845
"2249","N85014","CH43 9JW",5485
"2250","N85015","CH43 5RE",7942
"2251","N85016","CH42 2AG",8059
"2252","N85017","CH41 8DB",5376
"2253","N85018","CH43 3DB",6097
"2254","N85019","CH41 2TF",8381
"2255","N85020","CH42 0LQ",15218
"2256","N85021","CH41 6AJ",2715
"2257","N85022","CH43 0TX",3319
"2258","N85023","CH45 4JG",5735
"2259","N85024","CH44 4AA",8794
"2260","N85025","CH45 3NA",5858
"2261","N85027","CH44 5UF",10480
"2262","N85028","CH46 8SA",7181
"2263","N85031","CH42 3TD",3917
"2264","N85032","CH49 3AT",7040
"2265","N85037","CH49 9DA",4663
"2266","N85038","CH41 3RH",4721
"2267","N85040","CH46 7XA",5915
"2268","N85044","CH41 0DD",15362
"2269","N85046","CH46 6DE",4694
"2270","N85047","CH62 7EU",6046
"2271","N85048","CH46 0PE",5359
"2272","N85051","CH62 5HS",12677
"2273","N85052","CH45 3HF",3652
"2274","N85054","CH63 2LR",5018
"2275","N85057","CH63 2JN",1979
"2276","N85059","CH47 8XA",7283
"2277","N85616","CH44 5UF",4471
"2278","N85617","CH63 9JP",4596
"2279","N85620","CH45 3HE",6537
"2280","N85625","CH41 8DB",14876
"2281","N85629","CH44 8AT",4327
"2282","N85633","CH63 2LR",4319
"2283","N85634","CH41 3RH",1677
"2284","N85640","CH46 2QQ",2885
"2285","N85643","CH43 0TS",4304
"2286","N85648","CH46 1SG",3584
"2287","A85001","NE9 5EY",7578
"2288","A85002","NE8 2XB",4056
"2289","A85003","NE39 1PW",6009
"2290","A85004","NE10 8PH",10623
"2291","A85005","NE8 1RQ",16194
"2292","A85006","NE11 9FJ",9161
"2293","A85007","NE9 5XY",7999
"2294","A85008","DH3 2QT",15804
"2295","A85009","NE10 9QG",6052
"2296","A85010","NE21 5AE",11287
"2297","A85011","NE10 9QG",7616
"2298","A85012","NE8 1HR",3299
"2299","A85013","NE8 1AD",3720
"2300","A85014","NE40 4US",6917
"2301","A85016","NE9 7AD",11099
"2302","A85017","NE8 4DP",7117
"2303","A85018","NE21 4RD",4919
"2304","A85019","NE8 1NB",10600
"2305","A85020","NE16 4PD",15732
"2306","A85021","NE8 2UR",3899
"2307","A85023","NE8 2PQ",5703
"2308","A85024","NE17 7BU",2445
"2309","A85026","NE9 6YS",5012
"2310","A85611","NE10 0RR",5315
"2311","A85614","NE8 1AD",6041
"2312","A85616","NE21 4RD",4567
"2313","A85617","NE16 5LP",3631
"2314","A85620","NE40 3LT",4002
"2315","A86003","NE1 8DQ",39489
"2316","A86004","NE4 8AY",15383
"2317","A86006","NE3 1NB",5454
"2318","A86007","NE2 1JQ",2736
"2319","A86008","NE3 2PE",13068
"2320","A86010","NE6 5SL",9868
"2321","A86011","NE6 3BS",10883
"2322","A86012","NE4 9QB",10225
"2323","A86013","NE5 2QW",7502
"2324","A86017","NE4 7JT",10643
"2325","A86018","NE3 1NU",12749
"2326","A86020","NE2 3LD",12950
"2327","A86021","NE4 8QB",9620
"2328","A86022","NE5 1LJ",8635
"2329","A86023","NE6 4QD",8833
"2330","A86024","NE6 1SA",7510
"2331","A86025","NE5 2LH",14350
"2332","A86026","NE15 9PA",6716
"2333","A86027","NE1 7XR",18275
"2334","A86028","NE3 1DQ",4443
"2335","A86029","NE6 1SG",19865
"2336","A86030","NE15 6TQ",11557
"2337","A86031","NE4 9XD",9736
"2338","A86033","NE3 5NF",6595
"2339","A86035","NE3 5JP",2651
"2340","A86036","NE3 1TX",10727
"2341","A86037","NE4 6SH",6811
"2342","A86038","NE15 8LX",5744
"2343","A86040","NE6 2NN",6868
"2344","A86601","NE5 2UY",8776
"2345","Y00184","NE4 5AB",9488
"2346","Y02658","NE21 5NW",3047
"2347","P84004","M11 3BB",8932
"2348","P84005","M13 9UJ",11084
"2349","P84009","M13 0YL",11310
"2350","P84010","M20 1EB",10864
"2351","P84012","M22 4DH",10008
"2352","P84014","M22 9UH",5243
"2353","P84016","M19 3BX",8410
"2354","P84017","M20 4SS",12675
"2355","P84018","M14 6SQ",5070
"2356","P84019","M9 8PP",10998
"2357","P84020","M22 5RX",9328
"2358","P84021","M23 2SY",9129
"2359","P84022","M19 1UG",6205
"2360","P84023","M14 5BY",9069
"2361","P84024","M23 1JX",7856
"2362","P84025","M40 5HP",7294
"2363","P84026","M13 0WQ",8225
"2364","P84027","M19 2AF",7579
"2365","P84028","M18 8LJ",8916
"2366","P84029","M22 9UH",10009
"2367","P84030","M8 0DA",13773
"2368","P84032","M11 4EJ",6121
"2369","P84033","M9 0FN",4269
"2370","P84034","M20 2RN",16482
"2371","P84035","M14 6WP",17205
"2372","P84037","M13 9UJ",6956
"2373","P84038","M16 9RT",11583
"2374","P84039","M16 8EE",7820
"2375","P84040","M9 5BH",7166
"2376","P84041","M11 3AA",7695
"2377","P84042","M11 1JG",11201
"2378","P84043","M22 5RX",9328
"2379","P84045","M23 9AB",5191
"2380","P84046","M8 8UP",11955
"2381","P84047","M40 1NT",5901
"2382","P84048","M22 0EP",6748
"2383","P84049","M9 6BA",10555
"2384","P84050","M18 7BQ",8062
"2385","P84051","M11 4EJ",5319
"2386","P84052","M12 5JE",7171
"2387","P84053","M19 3BS",8137
"2388","P84054","M40 7QH",6712
"2389","P84056","M20 1BH",5012
"2390","P84059","M11 1DA",6892
"2391","P84061","M23 9JH",6134
"2392","P84064","M4 6EE",7797
"2393","P84065","M9 4BE",3961
"2394","P84066","M21 8HA",7414
"2395","P84067","M40 3HD",6818
"2396","P84068","M21 9NJ",23515
"2397","P84070","M40 2JF",7548
"2398","P84071","M21 0UF",4871
"2399","P84072","M14 5NP",25485
"2400","P84074","M8 9JT",10708
"2401","P84605","M9 5RD",1914
"2402","P84611","M13 9UJ",7683
"2403","P84616","M14 4GP",9096
"2404","P84626","M14 5LQ",5503
"2405","P84630","M15 5TJ",19331
"2406","P84635","M16 7AP",4477
"2407","P84637","M11 4EJ",2728
"2408","P84639","M14 6YL",4071
"2409","P84640","M8 8AU",5317
"2410","P84644","M12 5RU",6352
"2411","P84645","M8 4RF",6383
"2412","P84650","M16 8NG",6468
"2413","P84651","M23 0PH",4859
"2414","P84663","M9 8DX",4977
"2415","P84665","M20 3HE",2896
"2416","P84669","M15 4EA",14446
"2417","P84672","M23 9RL",3379
"2418","P84673","M4 6EE",13765
"2419","P84678","M20 6BA",15217
"2420","P84679","M9 4WH",1849
"2421","P84683","M1 3LY",9880
"2422","P84684","M8 9NT",5141
"2423","P84689","M13 0RR",5112
"2424","P84690","M9 7HD",2797
"2425","Y01695","M40 7LH",3461
