"","CODE","POSTCODE","NUMBER_OF_PATIENTS"
"176","P82627","BL1 6AH",3852
"177","P82629","BL3 5HP",2074
"178","P82633","BL3 6RN",2433
"179","P82634","BL1 4DN",4232
"180","P82640","BL3 5HP",4339
"181","P82643","BL7 9RG",6980
"182","P82652","BL4 9AH",3742
"183","P82660","BL3 4LU",3528
"184","Y00186","BL3 5DP",1660
"185","Y02319","BL1 4TH",5970
"186","Y02790","BL3 6PY",6374
"187","Y03079","BL1 8TU",13723
"188","Y03366","BL3 5HP",5098
"189","P83001","M25 1BT",12715
"190","P83004","M45 8GH",7937
"191","P83005","BL9 0SN",4811
"192","P83006","BL0 9DD",8397
"193","P83007","M26 2SP",9577
"194","P83009","BL9 8QA",7784
"195","P83010","M26 2QZ",3632
"196","P83011","BL9 8JR",7359
"197","P83012","BL8 4AD",49847
"198","P83015","BL9 0SN",7176
"199","P83017","BL8 1EG",4969
"200","P83021","BL9 0SN",10390
"201","P83024","BL9 0ST",4237
"202","P83025","M25 0HT",8673
"203","P83027","M25 1NL",2042
"204","P83603","M26 2SP",9931
"205","P83605","M25 1EX",7759
"206","P83608","M45 7FD",5907
"207","P83609","M25 2GN",3927
"208","P83611","BL9 6DX",4214
"209","P83612","BL8 2JR",4950
"210","P83620","BL0 9TN",4412
"211","P83621","BL9 6JA",3229
"212","P83623","M25 1BT",5150
"213","Y02755","BL9 0NJ",9374
"214","P81010","PR6 8UA",5435
"215","P81033","PR7 5EN",8066
"216","P81038","PR7 2EJ",9463
"217","P81044","PR7 2AD",17006
"218","P81057","PR25 1HR",12826
"219","P81062","PR7 2DH",7718
"220","P81076","PR25 2EB",11172
"221","P81082","PR5 6JD",10110
"222","P81083","PR5 6PE",8625
"223","P81117","PR25 2TD",4533
"224","P81127","PR7 1HR",4182
"225","P81143","PR6 7PS",10771
"226","P81154","PR6 9PY",8324
"227","P81171","PR7 6AH",4443
"228","P81180","PR5 8ES",3600
"229","P81181","PR1 9BX",4673
"230","P81186","PR26 7XL",4506
"231","P81655","PR26 9HJ",9654
"232","P81687","PR4 4LU",1917
"233","P81692","PR4 5AB",2056
"234","P81701","PR6 7EH",3003
"235","P81740","PR6 9NW",10354
"236","P81741","PR25 1HR",2753
"237","Y00347","PR7 2TH",5402
"238","Y02466","PR7 7HZ",11435
"239","Y03656","PR25 1HR",5757
"240","P85001","OL1 2HG",55
"241","P85002","OL1 3UL",5824
"242","P85003","OL1 1NL",6631
"243","P85004","OL9 0LH",5256
"244","P85005","OL4 3DG",9365
"245","P85007","OL1 1NL",3564
"246","P85008","M35 0AD",12146
"247","P85010","OL9 0LH",13088
"248","P85011","OL9 8NH",8787
"249","P85012","OL8 3HF",5305
"250","P85013","OL2 6QW",22262
"251","P85014","OL4 1JN",5640
"252","P85015","OL4 1YN",7640
"253","P85016","OL3 6AH",14022
"254","P85017","OL2 8ST",9195
"255","P85018","OL9 7AY",4486
"256","P85019","OL2 5QL",5662
"257","P85020","OL4 2RJ",7741
"258","P85021","OL4 1BN",10688
"259","P85022","OL4 3BP",4552
"260","P85026","M35 0AD",6609
"261","P85028","OL9 7SG",5502
"262","P85601","OL1 1NL",3114
"263","P85602","OL1 4JU",2718
"264","P85605","OL8 4LR",4880
"265","P85606","OL1 4JU",3721
"266","P85608","OL1 1NL",2764
"267","P85610","M35 0AD",4243
"268","P85612","OL9 7AY",3193
"269","P85614","OL2 8ST",3414
"270","P85615","OL9 7AY",11327
"271","P85620","OL8 3HH",3074
"272","P85621","OL4 1YN",5165
"273","P85622","OL4 1YN",5431
"274","P89006","OL5 9AJ",12042
"275","Y01124","OL1 1NL",4224
"276","Y02753","OL8 2QD",4755
"277","Y02827","OL8 1DF",4457
"278","Y02875","OL1 1NL",3714
"279","Y02933","OL8 3TR",5551
"280","P81003","BB4 8HH",9538
"281","P81008","BB11 3BT",6403
"282","P81017","BB7 9SL",14037
"283","P81020","BB11 2DL",24909
"284","P81025","BB8 0JZ",12422
