"","Postcode_District","Count_GP_Surgeries","Total_Registered_Patients","Total_Registered_Practitioners","Count"
"137","BH10",2,34683,41,20924
"138","BH11",1,9596,18,20871
"139","BH12",2,18108,25,36169
"140","BH14",2,65753,77,25208
"141","BH15",4,49995,76,35656
"142","BH17",2,22025,28,23043
"143","BH18",2,32225,45,11940
"144","BH19",1,10877,23,11168
"145","BH20",5,22982,45,20325
"146","BH21",4,36889,61,42651
"147","BH22",4,30069,43,27642
"148","BH23",6,60331,104,55303
"149","BH24",2,23176,39,24892
"150","BH25",1,33465,50,25637
"151","BH31",1,8175,15,13654
"152","BH4",1,19390,30,9624
"153","BH5",1,25484,26,11263
"154","BH6",3,30983,56,23203
"155","BH7",1,5830,11,11710
"156","BH8",2,17537,34,32124
"157","BH9",4,42701,99,32568
"158","BL0",2,12809,17,17308
"159","BL1",16,101194,141,69352
"160","BL2",5,37791,44,47216
"161","BL3",18,82601,115,71883
"162","BL4",4,35902,59,35440
"163","BL5",2,27443,33,27465
"164","BL6",2,23830,18,31311
"165","BL7",2,10266,17,15174
"166","BL8",3,59766,76,36145
"167","BL9",9,58574,72,52307
"168","BN1",15,151436,187,84834
"169","BN10",1,18996,26,19916
"170","BN11",4,46723,63,34441
"171","BN12",2,19573,27,22675
"172","BN14",3,55725,72,31088
"173","BN15",3,28768,48,28220
"174","BN16",3,37048,47,29858
"175","BN17",2,27050,40,33161
"176","BN18",2,17790,32,14259
"177","BN2",9,59489,97,94305
"178","BN21",4,61692,88,26270
"179","BN22",4,37883,53,33589
"180","BN23",1,7422,6,28609
"181","BN24",1,14199,12,10644
"182","BN25",2,27814,38,23959
"183","BN26",2,17826,29,13160
"184","BN27",4,34213,42,32317
"185","BN3",5,85581,109,80963
"186","BN41",4,32427,68,21373
"187","BN43",1,36432,56,24263
"188","BN44",1,12066,20,10012
"189","BN5",1,10215,20,8038
"190","BN6",1,20562,24,19203
"191","BN7",1,28330,36,20330
"192","BN8",1,9696,8,16084
"193","BN9",2,16438,37,13906
"194","BR1",10,87114,122,60642
"195","BR2",4,36213,48,49627
"196","BR3",7,62345,110,49899
"197","BR4",3,25951,34,19761
"198","BR5",8,47173,71,48738
"199","BR6",7,58435,80,48041
"200","BR7",2,24316,27,18796
"201","BR8",2,24276,33,23730
"202","BS1",1,11473,18,18751
"203","BS10",3,42247,75,30605
"204","BS11",1,11040,23,19089
"205","BS13",4,34707,69,32398
"206","BS14",2,26939,49,30930
"207","BS15",3,46849,107,49775
"208","BS16",6,98745,139,91268
"209","BS2",3,10136,31,19401
"210","BS20",3,35570,69,32907
"211","BS21",1,16147,28,23557
"212","BS22",2,25053,28,38031
"213","BS23",4,48682,86,35965
"214","BS24",1,11366,18,24816
"215","BS25",1,9993,19,6644
"216","BS26",1,8693,15,4941
"217","BS27",1,8064,20,7499
"218","BS3",2,51216,76,41231
"219","BS30",3,28847,51,30085
"220","BS31",3,26639,58,24038
"221","BS32",2,23842,40,24755
"222","BS34",3,44244,66,36399
"223","BS35",4,26947,56,24401
"224","BS36",1,14356,25,16623
"225","BS37",4,44817,81,40910
"226","BS39",1,9069,20,17349
"227","BS4",6,58421,108,51717
"228","BS40",3,62904,94,13753
"229","BS48",1,33101,50,23524
"230","BS5",5,80463,136,57433
"231","BS6",3,58888,92,33985
"232","BS7",3,46338,83,44446
"233","BS8",2,34409,57,27237
"234","BS9",4,34292,64,33370
"235","CA1",5,70838,90,25032
"236","CA10",3,10693,26,14421
"237","CA11",3,25915,46,23408
"238","CA12",1,8425,13,7451
"239","CA13",1,17514,29,15240
"240","CA14",2,38388,34,35870
"241","CA15",1,13849,25,16133
"242","CA16",1,5027,10,6407
"243","CA17",1,6675,20,4926
"244","CA2",1,15849,20,40609
"245","CA20",1,5776,18,3171
"246","CA22",2,29346,33,8710
"247","CA28",3,21475,43,27851
"248","CA4",1,3562,7,9702
"249","CA5",1,5086,11,7230
"250","CA6",1,3552,10,9186
"251","CA7",5,27912,46,22745
"252","CA8",1,16570,27,10099
"253","CA9",1,2246,6,2081
"254","CB1",6,57034,114,53549
"255","CB10",1,10713,15,15142
"256","CB11",2,21982,32,19042
"257","CB2",4,56046,86,29687
"258","CB22",2,52079,78,25778
"259","CB23",5,39015,75,36052
"260","CB24",6,39880,66,36901
"261","CB25",3,20329,44,19054
"262","CB3",2,38257,44,18818
"263","CB4",3,48938,67,44345
"264","CB5",2,8301,25,13530
"265","CB6",4,36443,78,39737
"266","CB7",2,38006,56,28702
"267","CB8",4,38096,68,34600
"268","CB9",2,34797,47,33005
"269","CH1",8,58054,116,32962
"270","CH2",3,30512,38,35674
"271","CH3",2,16212,20,36541
"272","CH4",2,14829,19,34818
"273","CH41",7,53108,86,19607
"274","CH42",3,27194,44,32616
"275","CH43",5,27147,56,37830
"276","CH44",4,28072,42,29347
"277","CH45",5,31329,56,30179
"278","CH46",6,29618,56,25286
"279","CH47",1,7283,10,10819
"280","CH48",1,19430,29,14930
"281","CH49",5,39055,54,29568
"282","CH60",1,16618,25,13052
"283","CH62",4,34885,54,30310
"284","CH63",5,25524,46,29359
"285","CH64",3,21114,26,19185
"286","CH65",4,36780,64,30570
"287","CH66",2,33109,36,35918
"288","CM0",3,20626,27,17900
"289","CM1",5,68413,104,69427
"290","CM11",1,3192,5,19059
"291","CM12",5,38060,42,20661
"292","CM13",1,13060,18,25357
"293","CM14",1,12851,17,21391
"294","CM15",5,46245,51,23950
"295","CM16",2,26586,34,23929
"296","CM17",2,21932,35,25906
"297","CM18",3,41349,55,26013
"298","CM2",5,50769,79,61042
"299","CM20",3,38910,32,25928
"300","CM21",2,12815,22,11388
"301","CM22",2,16656,19,16134
"302","CM23",3,46302,54,43855
"303","CM24",1,11591,20,8715
"304","CM3",7,84393,89,56126
"305","CM4",2,11474,23,10413
"306","CM5",1,12382,20,11784
"307","CM6",3,34263,46,29985
"308","CM7",5,59659,65,50973
"309","CM8",5,35746,32,35665
"310","CM9",3,32624,62,35361
"311","CO1",2,47398,45,18035
"312","CO10",5,54192,65,50311
"313","CO11",2,10558,14,13965
"314","CO12",3,25040,26,23460
"315","CO13",1,7600,14,12827
"316","CO14",1,8341,11,7178
"317","CO15",6,68071,73,45001
"318","CO16",1,8027,6,26562
"319","CO2",2,47424,58,40911
"320","CO3",3,32010,35,32840
"321","CO4",4,36974,58,53273
"322","CO5",4,43303,65,29501
"323","CO6",2,14486,15,28977
"324","CO7",5,47765,72,35021
"325","CO9",2,25294,33,27821
"326","CR0",18,148640,180,170304
"327","CR2",7,59511,110,50362
"328","CR3",2,22639,39,31017
"329","CR4",7,58759,88,64887
"330","CR5",2,20012,18,31963
"331","CR6",2,25614,49,10322
"332","CR7",11,83278,127,46951
"333","CR8",2,40024,49,33370
"334","CT1",3,38214,41,32129
"335","CT10",3,21468,19,25161
"336","CT11",3,38007,56,29972
"337","CT12",3,22182,27,19072
"338","CT13",1,12514,17,8511
"339","CT14",4,35562,59,35532
"340","CT15",1,5204,8,13361
"341","CT16",4,41317,38,21094
"342","CT17",1,9146,8,22278
"343","CT18",2,7269,9,14893
"344","CT19",2,21698,31,28300
"345","CT2",2,31292,34,32331
"346","CT20",4,35201,40,23772
"347","CT21",2,17016,20,17597
"348","CT3",2,12669,19,20655
"349","CT4",3,39425,55,17187
"350","CT5",1,41745,58,33165
"351","CT6",2,41506,50,40490
"352","CT7",1,12899,16,12129
"353","CT8",1,10621,11,7903
"354","CT9",3,47046,60,46355
"355","CV1",10,59663,60,35938
"356","CV10",5,27599,34,56443
"357","CV11",8,62217,82,41423
"358","CV12",5,38679,50,32098
"359","CV2",9,82739,72,68128
"360","CV21",8,92412,116,40175
"361","CV22",1,8114,10,39801
"362","CV23",2,11792,26,27656
"363","CV3",10,81348,93,70203
"364","CV31",4,38912,51,34419
"365","CV32",3,31509,52,32914
"366","CV33",1,5908,10,8379
"367","CV34",4,45860,65,35670
"368","CV35",3,24185,47,26869
"369","CV36",1,11793,19,10446
"370","CV37",4,51326,75,45606
"371","CV4",4,29036,38,37316
"372","CV47",3,21456,40,20172
"373","CV5",4,34791,35,47083
"374","CV6",13,141453,153,94111
"375","CV7",2,22853,40,29308
"376","CV8",3,31294,41,31272
"377","CV9",2,20665,19,22695
"378","CW1",5,77638,79,44804
"379","CW10",2,15899,23,15609
"380","CW11",1,26860,34,27046
"381","CW12",3,34055,40,33378
"382","CW2",1,19175,22,44045
"383","CW3",3,14392,21,9624
"384","CW4",1,12835,18,10867
"385","CW5",4,30124,42,33192
"386","CW6",4,24860,37,13616
"387","CW7",5,36974,52,34565
"388","CW8",3,26410,28,40289
"389","CW9",4,47835,69,35219
"390","DA1",9,88662,99,65369
"391","DA11",4,61367,76,41402
"392","DA12",4,31847,35,49484
"393","DA13",2,26677,21,14332
"394","DA14",2,34539,26,23138
"395","DA15",2,20264,26,29748
"396","DA16",5,50587,52,37486
"397","DA17",1,17561,12,19413
"398","DA2",1,30602,27,24260
"399","DA3",1,15809,27,17119
"400","DA4",2,12485,16,9428
"401","DA5",1,7172,12,21268
"402","DA6",1,14923,23,11057
"403","DA7",4,40417,48,36100
"404","DA8",3,36128,28,38275
"405","DE1",6,66734,90,16419
"406","DE11",5,57351,64,46765
"407","DE12",1,15163,20,22087
"408","DE13",5,42659,62,43275
"409","DE14",5,46042,52,35361
"410","DE15",3,23825,33,25010
"411","DE21",3,53655,67,57647
"412","DE22",3,23686,29,48751
"413","DE23",7,95225,133,66788
"414","DE24",3,28688,39,59999
"415","DE3",2,18297,28,18647
"416","DE4",5,41011,76,34141
"417","DE45",2,13807,26,8047
"418","DE5",2,16168,34,22493
"419","DE55",7,71789,118,54108
"420","DE56",3,36890,50,39397
"421","DE6",4,32075,46,26620
"422","DE65",2,20623,23,24508
"423","DE7",8,60321,104,51203
"424","DE72",1,10990,23,20451
"425","DE73",2,31180,40,20930
"426","DE74",2,18751,27,12927
"427","DE75",3,26082,33,18655
"428","DH1",4,56710,74,52550
"429","DH2",3,26071,51,30462
"430","DH3",4,38424,64,26738
"431","DH4",6,44248,71,35003
"432","DH5",1,11588,22,21235
"433","DH6",5,28521,39,35115
"434","DH7",6,59674,80,42740
"435","DH8",3,38711,56,39859
"436","DH9",4,31641,50,37251
"437","DL1",4,41186,60,47914
"438","DL10",4,21713,41,17998
"439","DL11",2,4858,10,4847
"440","DL12",2,13472,27,12362
"441","DL13",3,12703,26,13578
"442","DL14",4,40249,72,37650
"443","DL15",2,22687,36,23077
"444","DL16",2,23378,26,22357
"445","DL17",2,17740,32,17980
"446","DL2",3,14996,25,18752
"447","DL3",5,58066,93,43258
"448","DL4",1,5586,11,10100
"449","DL5",3,36731,57,29491
"450","DL7",2,30261,49,15669
"451","DL8",3,20010,51,18653
"452","DL9",1,7787,22,14598
"453","DN1",7,83634,102,9720
"454","DN10",2,11280,25,12593
"455","DN11",3,21298,35,29658
"456","DN12",5,27074,33,24468
"457","DN14",4,44811,57,48962
"458","DN15",5,39679,54,37208
"459","DN16",4,55077,62,32771
"460","DN17",2,19383,24,36776
"461","DN18",2,20068,25,12772
"462","DN2",1,10737,6,24668
"463","DN20",3,22813,36,19197
"464","DN21",4,38875,50,39038
"465","DN22",4,47776,56,37404
"466","DN3",2,15885,24,30173
"467","DN31",8,35182,50,9315
"468","DN32",4,7969,29,28067
"469","DN33",1,13361,20,20383
"470","DN34",5,42551,37,19127
"471","DN35",5,37058,37,32616
"472","DN36",1,9379,14,20537
"473","DN38",1,3008,3,2885
"474","DN4",3,29369,48,55574
"475","DN40",2,34453,44,12435
"476","DN41",1,2417,4,6606
"477","DN5",6,41712,53,40265
"478","DN6",3,32831,37,30952
"479","DN7",3,25074,27,24239
"480","DN8",2,19428,17,18395
"481","DN9",1,14904,18,21660
"482","DT1",5,34020,58,21364
"483","DT10",1,26545,36,12047
"484","DT11",2,28215,43,30237
"485","DT2",2,8350,12,25912
"486","DT3",1,3061,23,24759
"487","DT4",5,64303,103,37399
"488","DT5",1,12474,15,13558
"489","DT6",1,24583,22,21781
"490","DT7",1,9072,7,5568
"491","DT8",1,5302,14,6065
"492","DT9",4,30050,46,22329
"493","DY1",8,49333,51,35229
"494","DY10",4,40988,65,37000
"495","DY11",3,31553,36,32221
"496","DY12",1,15579,22,12113
"497","DY13",1,21198,30,22918
"498","DY14",1,7129,8,8662
"499","DY2",5,23332,34,36281
"500","DY3",5,36317,47,34909
"501","DY4",6,54369,69,48224
"502","DY5",6,40592,62,42705
"503","DY6",4,39837,51,28847
"504","DY8",3,50951,69,50930
"505","DY9",6,49073,73,31648
"506","E1",8,106269,130,78961
"507","E10",7,65066,67,47365
"508","E11",11,81573,82,56041
"509","E12",7,55570,61,42759
"510","E13",11,83047,97,51756
"511","E14",9,127091,171,108214
"512","E15",6,69601,78,58450
"513","E16",4,55122,56,61514
"514","E17",15,123628,128,113053
"515","E18",5,31983,41,20625
"516","E1W",2,13924,24,14644
"517","E2",5,62885,75,50134
"518","E20",1,18347,26,9677
"519","E3",8,60631,109,67713
"520","E4",8,70679,89,66495
"521","E5",6,48867,80,49018
"522","E6",7,82428,80,84299
"523","E7",11,81469,101,53871
"524","E8",6,49389,83,42334
"525","E9",8,60071,93,40992
"526","EC1A",1,10328,17,1282
"527","EC1R",2,18837,26,4904
"528","EC1V",1,9132,24,15298
"529","EN1",2,24473,48,47936
"530","EN10",2,23363,31,18059
"531","EN11",3,31379,56,22483
"532","EN2",2,11122,10,31275
"533","EN3",3,32492,39,61338
"534","EN4",3,23581,33,27679
"535","EN5",4,36998,45,39898
"536","EN6",4,43389,76,30308
"537","EN7",2,19371,18,21931
"538","EN8",4,32366,43,39368
"539","EN9",2,22732,13,25310
"540","EX1",8,66094,111,27669
"541","EX10",1,14451,33,17692
"542","EX11",1,16787,26,9577
"543","EX12",2,14454,27,9854
"544","EX13",1,12366,20,13580
"545","EX14",1,17582,29,22222
"546","EX15",3,31340,61,23819
"547","EX16",4,39005,113,33738
"548","EX17",2,22126,43,20542
"549","EX18",1,7158,16,3287
"550","EX2",2,14374,33,44912
"551","EX20",1,14643,31,22305
"552","EX21",1,3065,6,4649
"553","EX22",2,18157,30,11860
"554","EX23",2,16776,41,16658
"555","EX3",1,11306,20,4935
"556","EX31",1,7527,12,28411
"557","EX32",3,44230,81,24250
"558","EX33",1,12691,22,10293
"559","EX34",1,18622,32,16608
"560","EX35",1,2478,6,1632
"561","EX36",1,12318,20,10045
"562","EX38",2,12058,29,8421
"563","EX39",4,40280,72,39461
"564","EX4",5,67391,118,60690
"565","EX5",3,12408,25,26350
"566","EX6",2,14339,24,14975
"567","EX7",1,14699,19,14638
"568","EX8",5,38887,85,38437
"569","EX9",1,8436,15,6970
"570","FY1",7,48503,76,34436
"571","FY2",2,28255,27,24079
"572","FY3",3,28646,25,31870
"573","FY4",5,49637,51,44476
"574","FY5",5,44470,48,44717
"575","FY6",3,28880,28,28814
"576","FY7",3,28611,28,26226
"577","FY8",6,52630,73,45113
"578","GL1",6,65265,108,38885
"579","GL10",3,14154,22,15858
"580","GL11",3,20195,41,19337
"581","GL12",2,21285,42,16184
"582","GL14",3,17678,27,15946
"583","GL15",4,23067,49,22254
"584","GL16",2,13324,23,14198
"585","GL17",2,10830,20,11734
"586","GL18",1,11323,16,8726
"587","GL19",1,6645,11,9685
"588","GL2",5,69462,87,61900
"589","GL20",3,32355,58,29491
"590","GL3",3,33181,65,34869
"591","GL4",1,18791,26,48629
"592","GL5",4,35380,57,31351
"593","GL50",9,93098,165,22178
"594","GL51",1,4604,19,53178
"595","GL52",4,43899,76,49220
"596","GL53",1,13497,19,21142
"597","GL54",3,25101,44,24779
"598","GL55",1,5218,12,5809
"599","GL56",2,10117,14,10048
"600","GL6",4,28617,51,24772
"601","GL7",5,61347,101,45503
"602","GU1",3,31601,53,31811
"603","GU10",4,28647,51,24231
"604","GU11",3,36687,57,27169
"605","GU12",1,10148,19,32491
"606","GU14",6,60482,100,57225
"607","GU15",3,42798,69,36131
"608","GU16",2,35289,63,24136
"609","GU17",1,28858,29,11948
"610","GU18",1,13050,14,6609
"611","GU19",1,6802,14,6122
"612","GU2",2,38026,47,35831
"613","GU21",3,27127,49,50863
"614","GU22",6,63935,87,36599
"615","GU23",1,8145,14,6896
"616","GU24",2,16363,24,20412
"617","GU25",1,5187,5,5839
"618","GU26",1,12044,26,7763
"619","GU27",1,18963,25,18096
"620","GU28",1,6037,11,6894
"621","GU29",1,12921,20,9921
"622","GU3",1,13587,23,11466
"623","GU30",1,11308,8,10555
"624","GU31",1,7610,15,11658
"625","GU32",2,24037,54,12266
"626","GU33",1,4130,9,8412
"627","GU34",4,36523,74,33557
"628","GU35",2,19017,24,24133
"629","GU4",1,12205,17,16121
"630","GU47",1,18962,17,18996
"631","GU5",2,18632,38,10809
"632","GU51",2,28462,49,25130
"633","GU52",1,14614,8,18842
"634","GU6",1,17133,24,15895
"635","GU7",2,27099,43,24585
"636","GU8",4,23323,55,17657
"637","GU9",2,30256,53,31883
"638","HA0",10,77379,64,56754
"639","HA1",8,48714,55,45038
"640","HA2",8,78240,124,60060
"641","HA3",11,82763,91,75783
"642","HA4",10,53859,80,53095
"643","HA5",5,49071,73,47084
"644","HA6",4,32936,42,23468
"645","HA7",2,28679,37,39337
"646","HA8",11,103353,130,71824
"647","HA9",10,97234,69,58681
"648","HD1",13,54815,76,24516
"649","HD2",5,32601,32,30012
"650","HD3",4,27116,39,31884
"651","HD4",2,10080,14,30027
"652","HD5",4,28748,33,30735
"653","HD6",4,29063,34,26539
"654","HD7",3,25338,34,22784
"655","HD8",5,35253,54,33667
"656","HD9",4,39189,63,35884
"657","HG1",5,60986,107,34360
"658","HG2",2,21378,31,32723
"659","HG3",1,10624,24,29388
"660","HG4",4,29646,58,25955
"661","HG5",3,27454,44,18703
"662","HP1",1,17831,30,26280
"663","HP10",2,24873,45,19366
"664","HP11",3,33262,43,17273
"665","HP12",2,20142,32,23283
"666","HP13",4,40118,68,45994
"667","HP14",2,19357,37,18001
"668","HP15",1,6874,11,17305
"669","HP16",2,7325,13,11722
"670","HP17",1,9006,12,10991
"671","HP18",1,5234,12,22535
"672","HP19",3,40937,59,27074
"673","HP2",6,48942,52,42424
"674","HP20",2,27315,41,16167
"675","HP21",1,15235,13,35099
"676","HP22",1,30871,54,30993
"677","HP23",1,40815,46,17994
"678","HP27",2,37123,52,13344
"679","HP3",3,33263,55,34801
"680","HP4",2,14929,15,24811
"681","HP5",3,29330,45,27008
"682","HP6",1,13768,25,15263
"683","HP7",2,15445,23,11067
"684","HP9",2,26206,44,17623
"685","HR1",4,76232,105,33618
"686","HR2",4,24860,51,38964
"687","HR4",1,6487,15,30828
"688","HR5",1,7295,14,4788
"689","HR6",3,27761,48,20962
"690","HR7",1,9556,20,7357
"691","HR8",1,13592,24,14141
"692","HR9",2,20050,34,21473
"693","HU1",1,4513,7,3539
"694","HU10",2,12832,18,19739
"695","HU11",1,3442,2,12157
"696","HU13",3,19177,18,15541
"697","HU14",1,1965,2,8549
"698","HU15",2,34425,61,25133
"699","HU16",1,7345,15,16098
"700","HU17",5,62696,81,43822
"701","HU18",1,12450,14,8975
"702","HU19",1,34906,36,6960
"703","HU3",6,63147,102,31150
"704","HU4",1,7555,10,23997
"705","HU5",6,91040,95,48848
"706","HU6",3,21228,20,36013
"707","HU7",8,52357,103,47875
"708","HU8",1,4841,28,34985
"709","HU9",5,58061,56,41932
"710","HX1",5,62500,61,25820
"711","HX2",3,28809,32,37097
"712","HX3",2,24336,30,45909
"713","HX4",1,11420,16,12028
"714","HX5",1,10604,11,10537
"715","HX6",2,20600,30,19174
"716","HX7",1,18654,21,12885
"717","IG1",9,87412,67,70976
"718","IG10",3,35178,52,33797
"719","IG11",11,78506,62,65311
"720","IG2",7,54840,51,31885
"721","IG3",6,48171,44,40296
"722","IG4",1,3834,4,10573
"723","IG5",2,14123,15,18328
"724","IG6",4,33224,34,32201
"725","IG7",2,19812,26,23633
"726","IG8",2,16867,18,38067
"727","IG9",3,16914,27,13255
"728","IP1",4,79602,82,40663
"729","IP11",3,33585,55,30181
"730","IP12",3,27575,45,25515
"731","IP13",2,19734,26,19626
"732","IP14",4,47090,74,41746
"733","IP16",1,9113,16,6830
"734","IP17",1,9523,15,12373
"735","IP18",1,5359,8,3840
"736","IP19",1,10501,15,10319
"737","IP2",1,9760,18,32670
"738","IP20",1,7949,8,8398
"739","IP21",2,10571,10,11423
"740","IP22",3,24797,37,22921
"741","IP23",1,6170,5,7562
"742","IP24",3,30764,59,28971
"743","IP25",2,18186,33,21474
"744","IP26",1,5334,7,9643
"745","IP27",3,18258,46,20511
"746","IP28",2,22248,35,29813
"747","IP3",3,43992,53,35738
"748","IP30",1,14842,22,14647
"749","IP31",2,14217,21,21303
"750","IP32",1,14538,17,18031
"751","IP33",4,49846,80,23892
"752","IP4",4,48525,59,38346
"753","IP5",2,13217,22,19674
"754","IP6",1,14189,22,17921
"755","IP7",2,22873,34,17026
"756","IP9",1,7993,15,11663
"757","KT1",1,9536,12,23628
"758","KT10",4,30460,56,21682
"759","KT11",1,13663,20,15893
"760","KT12",6,43401,62,39937
"761","KT13",2,25091,33,22788
"762","KT14",3,30340,52,13856
"763","KT15",1,16938,25,30173
"764","KT16",2,26458,40,20259
"765","KT17",4,54580,83,25655
"766","KT18",2,17158,22,17686
"767","KT19",1,14578,15,37848
"768","KT2",5,77316,116,33505
"769","KT20",2,21573,40,21640
"770","KT21",1,6240,14,14016
"771","KT22",3,34392,68,24918
"772","KT23",2,18543,33,11319
"773","KT24",1,10360,14,9132
"774","KT3",5,47849,85,40360
"775","KT4",2,22152,27,29921
"776","KT5",1,5068,9,21087
"777","KT6",6,49182,91,32921
"778","KT7",1,5360,5,10726
"779","KT8",2,27596,48,20964
"780","KT9",3,23507,44,21792
"781","L1",1,6500,8,11570
"782","L11",5,32252,46,29577
"783","L12",3,21436,27,30656
"784","L13",5,31637,67,29865
"785","L14",4,16893,31,27674
"786","L15",4,33242,42,29977
"787","L16",1,3066,4,14672
"788","L17",4,26045,31,22910
"789","L18",4,19388,32,26123
"790","L19",4,27010,58,24634
"791","L20",7,40612,59,34488
"792","L21",6,25792,40,24954
"793","L22",3,21353,27,13755
"794","L23",5,24254,42,30463
"795","L24",4,16922,34,17385
"796","L25",7,45366,77,34045
"797","L26",3,13479,18,15321
"798","L27",1,3710,8,6728
"799","L28",1,8771,14,6669
"800","L3",1,8248,21,20614
"801","L30",2,10273,13,19946
"802","L31",4,28117,38,30752
"803","L32",4,29485,27,21032
"804","L33",2,22902,25,19177
"805","L34",2,14329,19,13814
"806","L35",4,19416,27,30554
"807","L36",11,71258,63,42128
"808","L37",3,25750,38,23345
"809","L38",1,1969,8,2469
"810","L39",4,29082,29,31350
"811","L4",6,21499,28,40653
"812","L40",3,12638,17,19363
"813","L5",4,23997,32,14569
"814","L6",9,51675,71,24757
"815","L69",1,50456,63,NA
"816","L7",7,47629,65,21614
"817","L8",4,26300,60,35300
"818","L9",8,61185,82,31884
"819","LA1",2,81404,96,55994
"820","LA10",1,4496,9,3825
"821","LA11",2,10716,26,9945
"822","LA12",3,18666,27,20203
"823","LA13",2,14037,20,19104
"824","LA14",7,46185,68,36957
"825","LA15",1,8786,16,7655
"826","LA17",1,4755,5,1205
"827","LA18",1,8065,14,8301
"828","LA2",1,7318,12,22618
"829","LA21",1,1027,4,1017
"830","LA22",1,6199,21,4890
"831","LA23",2,11652,26,8307
"832","LA3",1,54096,68,25122
"833","LA5",1,25185,37,16243
"834","LA6",1,6498,15,13193
"835","LA7",1,6161,8,5056
"836","LA9",3,38327,68,31835
"837","LE1",4,7813,27,18755
"838","LE10",5,49719,60,53121
"839","LE11",7,76279,109,65654
"840","LE12",11,87698,109,69394
"841","LE13",1,35893,50,27626
"842","LE14",1,7114,14,18115
"843","LE15",4,41527,77,36049
"844","LE16",1,26782,33,38312
"845","LE17",3,21650,52,23635
"846","LE18",3,31522,55,33755
"847","LE19",3,21556,25,16442
"848","LE2",21,161972,241,123106
"849","LE3",16,121223,164,109981
"850","LE4",13,92200,109,108997
"851","LE5",15,144067,168,99623
"852","LE6",2,7958,17,12048
"853","LE65",1,17541,19,16942
"854","LE67",8,64111,93,64811
"855","LE7",4,39898,55,51247
"856","LE8",4,55492,64,40677
"857","LE9",6,64833,74,59982
"858","LN1",5,31595,41,32318
"859","LN10",2,9931,26,6204
"860","LN11",3,33833,43,29609
"861","LN12",1,14598,11,13394
"862","LN13",1,7524,13,8222
"863","LN2",6,54441,85,42226
"864","LN4",6,37742,47,40575
"865","LN5",4,36303,49,36425
"866","LN6",6,63761,55,64678
"867","LN7",1,5186,6,6429
"868","LN8",3,16655,35,17690
"869","LN9",1,9549,15,10180
"870","LS1",1,14701,27,4476
"871","LS10",5,32721,45,40068
"872","LS11",4,46149,51,39904
"873","LS12",5,49955,74,44185
"874","LS13",3,30671,33,37065
"875","LS14",4,29813,54,39005
"876","LS15",4,29825,40,35941
"877","LS16",2,34537,50,37651
"878","LS17",3,45370,60,44911
"879","LS19",3,30907,55,20394
"880","LS2",1,44802,39,11904
"881","LS20",1,10920,6,13231
"882","LS21",2,24695,37,18548
"883","LS22",3,25777,60,16824
"884","LS23",2,10050,23,9842
"885","LS24",1,9013,13,12392
"886","LS25",6,63032,86,43442
"887","LS26",2,43146,42,31354
"888","LS27",5,43777,57,38284
"889","LS28",6,57019,69,41653
"890","LS29",4,33004,65,32860
"891","LS4",1,12849,21,9401
"892","LS5",2,15186,22,8441
"893","LS6",7,77730,116,49788
"894","LS7",5,37125,61,31823
"895","LS8",7,49153,73,51625
"896","LS9",7,60594,106,43563
"897","LU1",7,99186,96,50512
"898","LU2",4,26886,25,61617
"899","LU3",8,72118,68,65911
"900","LU4",9,67902,77,57733
"901","LU5",4,32589,34,42083
"902","LU6",4,45748,49,34490
"903","LU7",5,74322,94,61416
"904","M1",2,23229,20,11795
"905","M11",7,48888,58,24400
"906","M12",3,19908,28,19434
"907","M13",6,50370,61,24285
"908","M14",8,80804,126,56704
"909","M15",2,33777,42,26213
"910","M16",6,39766,72,37780
"911","M18",2,16978,25,26796
"912","M19",4,30331,46,37405
"913","M20",6,63146,97,49771
"914","M21",3,35800,42,29029
"915","M22",6,50664,89,45590
"916","M23",6,36548,58,32753
"917","M24",9,57274,77,50667
"918","M25",6,40266,45,32876
"919","M26",3,23140,28,37121
"920","M27",4,47122,80,43108
"921","M28",10,63435,117,43560
"922","M29",6,26705,37,24135
"923","M3",1,13913,5,16345
"924","M30",3,35668,38,40464
"925","M31",2,9058,16,8176
"926","M32",3,37151,47,29500
"927","M33",6,64106,102,61924
"928","M34",3,33571,35,47766
"929","M35",3,22998,27,21455
"930","M38",2,6383,11,15089
"931","M4",2,21562,29,17700
"932","M40",7,43157,51,46245
"933","M41",5,44468,59,41725
"934","M43",3,18164,31,23934
"935","M44",3,23025,38,19920
"936","M45",2,13844,15,23294
"937","M46",4,20076,22,23419
"938","M5",2,14005,10,21198
"939","M6",9,65118,108,36225
"940","M7",5,36645,51,36005
"941","M8",6,53277,65,36234
"942","M9",10,53427,80,44328
"943","ME1",5,38970,63,33830
"944","ME10",6,61109,71,52609
"945","ME12",6,47175,43,42961
"946","ME13",2,31961,44,28942
"947","ME14",3,35654,41,34287
"948","ME15",4,49131,53,53310
"949","ME16",3,32788,48,34416
"950","ME17",4,34989,57,26916
"951","ME18",2,15081,27,7110
"952","ME19",1,21260,23,25616
"953","ME2",5,33617,43,42823
"954","ME20",2,21137,43,21776
"955","ME3",3,36897,46,30241
"956","ME4",5,44315,42,33501
"957","ME5",6,68930,72,52166
"958","ME6",1,12077,16,11844
"959","ME7",7,45132,59,53393
"960","ME8",10,46591,53,50824
"961","ME9",2,9684,12,23659
"962","MK10",2,33128,22,24473
