"Postcode_District","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries"
"CM0",17900,20626,27,3
"CM1",69427,68413,104,5
"CM11",19059,3192,5,1
"CM12",20661,38060,42,5
"CM13",25357,13060,18,1
"CM14",21391,12851,17,1
"CM15",23950,46245,51,5
"CM16",23929,26586,34,2
"CM17",25906,21932,35,2
"CM18",26013,41349,55,3
"CM2",61042,50769,79,5
"CM20",25928,38910,32,3
"CM21",11388,12815,22,2
"CM22",16134,16656,19,2
"CM23",43855,46302,54,3
"CM24",8715,11591,20,1
"CM3",56126,84393,89,7
"CM4",10413,11474,23,2
"CM5",11784,12382,20,1
"CM6",29985,34263,46,3
"CM7",50973,59659,65,5
"CM8",35665,35746,32,5
"CM9",35361,32624,62,3
"CO1",18035,47398,45,2
"CO10",50311,54192,65,5
"CO11",13965,10558,14,2
"CO12",23460,25040,26,3
"CO13",12827,7600,14,1
"CO14",7178,8341,11,1
"CO15",45001,68071,73,6
"CO16",26562,8027,6,1
"CO2",40911,47424,58,2
"CO3",32840,32010,35,3
"CO4",53273,36974,58,4
"CO5",29501,43303,65,4
"CO6",28977,14486,15,2
"CO7",35021,47765,72,5
"CO9",27821,25294,33,2
"CR0",170304,148640,180,18
"CR2",50362,59511,110,7
"CR3",31017,22639,39,2
"CR4",64887,58759,88,7
"CR5",31963,20012,18,2
"CR6",10322,25614,49,2
"CR7",46951,83278,127,11
"CR8",33370,40024,49,2
"CT1",32129,38214,41,3
"CT10",25161,21468,19,3
"CT11",29972,38007,56,3
"CT12",19072,22182,27,3
"CT13",8511,12514,17,1
"CT14",35532,35562,59,4
"CT15",13361,5204,8,1
"CT16",21094,41317,38,4
"CT17",22278,9146,8,1
"CT18",14893,7269,9,2
"CT19",28300,21698,31,2
"CT2",32331,31292,34,2
"CT20",23772,35201,40,4
"CT21",17597,17016,20,2
"CT3",20655,12669,19,2
"CT4",17187,39425,55,3
"CT5",33165,41745,58,1
"CT6",40490,41506,50,2
"CT7",12129,12899,16,1
"CT8",7903,10621,11,1
"CT9",46355,47046,60,3
"CV1",35938,59663,60,10
"CV10",56443,27599,34,5
"CV11",41423,62217,82,8
"CV12",32098,38679,50,5
"CV2",68128,82739,72,9
"CV21",40175,92412,116,8
"CV22",39801,8114,10,1
"CV23",27656,11792,26,2
"CV3",70203,81348,93,10
"CV31",34419,38912,51,4
"CV32",32914,31509,52,3
"CV33",8379,5908,10,1
"CV34",35670,45860,65,4
"CV35",26869,24185,47,3
"CV36",10446,11793,19,1
"CV37",45606,51326,75,4
"CV4",37316,29036,38,4
"CV47",20172,21456,40,3
"CV5",47083,34791,35,4
"CV6",94111,141453,153,13
"CV7",29308,22853,40,2
"CV8",31272,31294,41,3
"CV9",22695,20665,19,2
"CW1",44804,77638,79,5
"CW10",15609,15899,23,2
"CW11",27046,26860,34,1
"CW12",33378,34055,40,3
"CW2",44045,19175,22,1
"CW3",9624,14392,21,3
"CW4",10867,12835,18,1
"CW5",33192,30124,42,4
"CW6",13616,24860,37,4
"CW7",34565,36974,52,5
"CW8",40289,26410,28,3
"CW9",35219,47835,69,4
"DA1",65369,88662,99,9
"DA11",41402,61367,76,4
"DA12",49484,31847,35,4
"DA13",14332,26677,21,2
"DA14",23138,34539,26,2
"DA15",29748,20264,26,2
"DA16",37486,50587,52,5
"DA17",19413,17561,12,1
"DA2",24260,30602,27,1
"DA3",17119,15809,27,1
"DA4",9428,12485,16,2
"DA5",21268,7172,12,1
"DA6",11057,14923,23,1
"DA7",36100,40417,48,4
"DA8",38275,36128,28,3
"DE1",16419,66734,90,6
"DE11",46765,57351,64,5
"DE12",22087,15163,20,1
"DE13",43275,42659,62,5
"DE14",35361,46042,52,5
"DE15",25010,23825,33,3
"DE21",57647,53655,67,3
"DE22",48751,23686,29,3
"DE23",66788,95225,133,7
"DE24",59999,28688,39,3
"DE3",18647,18297,28,2
"DE4",34141,41011,76,5
"DE45",8047,13807,26,2
"DE5",22493,16168,34,2
"DE55",54108,71789,118,7
"DE56",39397,36890,50,3
"DE6",26620,32075,46,4
"DE65",24508,20623,23,2
"DE7",51203,60321,104,8
"DE72",20451,10990,23,1
"DE73",20930,31180,40,2
"DE74",12927,18751,27,2
"DE75",18655,26082,33,3
"DH1",52550,56710,74,4
"DH2",30462,26071,51,3
"DH3",26738,38424,64,4
"DH4",35003,44248,71,6
"DH5",21235,11588,22,1
"DH6",35115,28521,39,5
"DH7",42740,59674,80,6
"DH8",39859,38711,56,3
"DH9",37251,31641,50,4
"DL1",47914,41186,60,4
"DL10",17998,21713,41,4
"DL11",4847,4858,10,2
"DL12",12362,13472,27,2
"DL13",13578,12703,26,3
"DL14",37650,40249,72,4
"DL15",23077,22687,36,2
"DL16",22357,23378,26,2
"DL17",17980,17740,32,2
"DL2",18752,14996,25,3
"DL3",43258,58066,93,5
"DL4",10100,5586,11,1
"DL5",29491,36731,57,3
"DL7",15669,30261,49,2
"DL8",18653,20010,51,3
"DL9",14598,7787,22,1
"DN1",9720,83634,102,7
"DN10",12593,11280,25,2
"DN11",29658,21298,35,3
"DN12",24468,27074,33,5
"DN14",48962,44811,57,4
"DN15",37208,39679,54,5
"DN16",32771,55077,62,4
"DN17",36776,19383,24,2
"DN18",12772,20068,25,2
"DN2",24668,10737,6,1
"DN20",19197,22813,36,3
"DN21",39038,38875,50,4
"DN22",37404,47776,56,4
"DN3",30173,15885,24,2
"DN31",9315,35182,50,8
"DN32",28067,7969,29,4
"DN33",20383,13361,20,1
"DN34",19127,42551,37,5
"DN35",32616,37058,37,5
"DN36",20537,9379,14,1
"DN38",2885,3008,3,1
"DN4",55574,29369,48,3
"DN40",12435,34453,44,2
"DN41",6606,2417,4,1
"DN5",40265,41712,53,6
"DN6",30952,32831,37,3
"DN7",24239,25074,27,3
"DN8",18395,19428,17,2
"DN9",21660,14904,18,1
"DT1",21364,34020,58,5
"DT10",12047,26545,36,1
"DT11",30237,28215,43,2
"DT2",25912,8350,12,2
"DT3",24759,3061,23,1
"DT4",37399,64303,103,5
"DT5",13558,12474,15,1
"DT6",21781,24583,22,1
"DT7",5568,9072,7,1
"DT8",6065,5302,14,1
"DT9",22329,30050,46,4
"DY1",35229,49333,51,8
"DY10",37000,40988,65,4
"DY11",32221,31553,36,3
"DY12",12113,15579,22,1
"DY13",22918,21198,30,1
"DY14",8662,7129,8,1
"DY2",36281,23332,34,5
"DY3",34909,36317,47,5
"DY4",48224,54369,69,6
"DY5",42705,40592,62,6
"DY6",28847,39837,51,4
"DY8",50930,50951,69,3
"DY9",31648,49073,73,6
"E1",78961,106269,130,8
"E10",47365,65066,67,7
"E11",56041,81573,82,11
"E12",42759,55570,61,7
"E13",51756,83047,97,11
"E14",108214,127091,171,9
"E15",58450,69601,78,6
"E16",61514,55122,56,4
"E17",113053,123628,128,15
"E18",20625,31983,41,5
"E1W",14644,13924,24,2
"E2",50134,62885,75,5
"E20",9677,18347,26,1
"E3",67713,60631,109,8
"E4",66495,70679,89,8
"E5",49018,48867,80,6
"E6",84299,82428,80,7
"E7",53871,81469,101,11
"E8",42334,49389,83,6
"E9",40992,60071,93,8
"EC1A",1282,10328,17,1
"EC1R",4904,18837,26,2
"EC1V",15298,9132,24,1
"EN1",47936,24473,48,2
"EN10",18059,23363,31,2
"EN11",22483,31379,56,3
"EN2",31275,11122,10,2
"EN3",61338,32492,39,3
"EN4",27679,23581,33,3
"EN5",39898,36998,45,4
"EN6",30308,43389,76,4
"EN7",21931,19371,18,2
"EN8",39368,32366,43,4
"EN9",25310,22732,13,2
"EX1",27669,66094,111,8
"EX10",17692,14451,33,1
"EX11",9577,16787,26,1
"EX12",9854,14454,27,2
"EX13",13580,12366,20,1
"EX14",22222,17582,29,1
"EX15",23819,31340,61,3
"EX16",33738,39005,113,4
"EX17",20542,22126,43,2
"EX18",3287,7158,16,1
"EX2",44912,14374,33,2
"EX20",22305,14643,31,1
"EX21",4649,3065,6,1
"EX22",11860,18157,30,2
"EX23",16658,16776,41,2
"EX3",4935,11306,20,1
"EX31",28411,7527,12,1
"EX32",24250,44230,81,3
"EX33",10293,12691,22,1
"EX34",16608,18622,32,1
"EX35",1632,2478,6,1
"EX36",10045,12318,20,1
"EX38",8421,12058,29,2
"EX39",39461,40280,72,4
"EX4",60690,67391,118,5
"EX5",26350,12408,25,3
"EX6",14975,14339,24,2
"EX7",14638,14699,19,1
"EX8",38437,38887,85,5
"EX9",6970,8436,15,1
"FY1",34436,48503,76,7
"FY2",24079,28255,27,2
"FY3",31870,28646,25,3
"FY4",44476,49637,51,5
"FY5",44717,44470,48,5
"FY6",28814,28880,28,3
"FY7",26226,28611,28,3
"FY8",45113,52630,73,6
"GL1",38885,65265,108,6
"GL10",15858,14154,22,3
"GL11",19337,20195,41,3
"GL12",16184,21285,42,2
"GL14",15946,17678,27,3
"GL15",22254,23067,49,4
"GL16",14198,13324,23,2
"GL17",11734,10830,20,2
"GL18",8726,11323,16,1
"GL19",9685,6645,11,1
"GL2",61900,69462,87,5
"GL20",29491,32355,58,3
"GL3",34869,33181,65,3
"GL4",48629,18791,26,1
"GL5",31351,35380,57,4
"GL50",22178,93098,165,9
"GL51",53178,4604,19,1
"GL52",49220,43899,76,4
"GL53",21142,13497,19,1
"GL54",24779,25101,44,3
"GL55",5809,5218,12,1
"GL56",10048,10117,14,2
"GL6",24772,28617,51,4
"GL7",45503,61347,101,5
"GU1",31811,31601,53,3
"GU10",24231,28647,51,4
"GU11",27169,36687,57,3
"GU12",32491,10148,19,1
"GU14",57225,60482,100,6
"GU15",36131,42798,69,3
"GU16",24136,35289,63,2
"GU17",11948,28858,29,1
"GU18",6609,13050,14,1
"GU19",6122,6802,14,1
"GU2",35831,38026,47,2
"GU21",50863,27127,49,3
"GU22",36599,63935,87,6
"GU23",6896,8145,14,1
"GU24",20412,16363,24,2
"GU25",5839,5187,5,1
"GU26",7763,12044,26,1
"GU27",18096,18963,25,1
"GU28",6894,6037,11,1
"GU29",9921,12921,20,1
"GU3",11466,13587,23,1
"GU30",10555,11308,8,1
"GU31",11658,7610,15,1
"GU32",12266,24037,54,2
"GU33",8412,4130,9,1
"GU34",33557,36523,74,4
"GU35",24133,19017,24,2
"GU4",16121,12205,17,1
"GU47",18996,18962,17,1
"GU5",10809,18632,38,2
"GU51",25130,28462,49,2
"GU52",18842,14614,8,1
"GU6",15895,17133,24,1
"GU7",24585,27099,43,2
"GU8",17657,23323,55,4
"GU9",31883,30256,53,2
"HA0",56754,77379,64,10
"HA1",45038,48714,55,8
"HA2",60060,78240,124,8
"HA3",75783,82763,91,11
"HA4",53095,53859,80,10
"HA5",47084,49071,73,5
"HA6",23468,32936,42,4
"HA7",39337,28679,37,2
"HA8",71824,103353,130,11
"HA9",58681,97234,69,10
"HD1",24516,54815,76,13
"HD2",30012,32601,32,5
"HD3",31884,27116,39,4
"HD4",30027,10080,14,2
"HD5",30735,28748,33,4
"HD6",26539,29063,34,4
"HD7",22784,25338,34,3
"HD8",33667,35253,54,5
"HD9",35884,39189,63,4
"HG1",34360,60986,107,5
"HG2",32723,21378,31,2
"HG3",29388,10624,24,1
"HG4",25955,29646,58,4
"HG5",18703,27454,44,3
"HP1",26280,17831,30,1
"HP10",19366,24873,45,2
"HP11",17273,33262,43,3
"HP12",23283,20142,32,2
"HP13",45994,40118,68,4
"HP14",18001,19357,37,2
"HP15",17305,6874,11,1
"HP16",11722,7325,13,2
"HP17",10991,9006,12,1
"HP18",22535,5234,12,1
"HP19",27074,40937,59,3
"HP2",42424,48942,52,6
"HP20",16167,27315,41,2
"HP21",35099,15235,13,1
"HP22",30993,30871,54,1
"HP23",17994,40815,46,1
"HP27",13344,37123,52,2
"HP3",34801,33263,55,3
"HP4",24811,14929,15,2
"HP5",27008,29330,45,3
"HP6",15263,13768,25,1
"HP7",11067,15445,23,2
"HP9",17623,26206,44,2
"HR1",33618,76232,105,4
"HR2",38964,24860,51,4
"HR4",30828,6487,15,1
"HR5",4788,7295,14,1
"HR6",20962,27761,48,3
"HR7",7357,9556,20,1
"HR8",14141,13592,24,1
"HR9",21473,20050,34,2
"HU1",3539,4513,7,1
"HU10",19739,12832,18,2
"HU11",12157,3442,2,1
"HU13",15541,19177,18,3
"HU14",8549,1965,2,1
"HU15",25133,34425,61,2
"HU16",16098,7345,15,1
"HU17",43822,62696,81,5
"HU18",8975,12450,14,1
"HU19",6960,34906,36,1
"HU3",31150,63147,102,6
"HU4",23997,7555,10,1
"HU5",48848,91040,95,6
"HU6",36013,21228,20,3
"HU7",47875,52357,103,8
"HU8",34985,4841,28,1
"HU9",41932,58061,56,5
"HX1",25820,62500,61,5
"HX2",37097,28809,32,3
"HX3",45909,24336,30,2
"HX4",12028,11420,16,1
"HX5",10537,10604,11,1
"HX6",19174,20600,30,2
"HX7",12885,18654,21,1
